stamp,joint1_to_base,joint2_to_joint1,joint3_to_joint2,joint4_to_joint3,joint5_to_joint4,joint6_to_joint5,gripper_controller
3.492,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
3.504,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
3.516,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
3.528,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
3.540,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
3.552,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
3.564,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
3.576,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
3.588,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
3.600,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
3.612,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
3.624,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
3.636,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
3.648,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
3.660,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
3.672,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
3.684,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
3.696,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
3.708,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
3.720,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
3.732,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
3.744,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
3.756,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
3.768,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
3.780,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
3.792,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
3.804,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
3.816,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
3.828,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
3.840,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
3.852,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
3.864,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
3.876,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
3.888,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
3.900,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
3.912,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
3.924,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
3.936,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
3.948,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
3.960,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
3.972,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
3.984,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
3.996,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
4.008,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
4.020,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
4.032,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
4.044,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
4.056,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
4.068,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
4.080,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
4.092,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
4.104,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
4.116,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
4.128,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
4.140,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
4.152,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
4.164,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
4.176,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
4.188,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
