stamp,joint1_to_base,joint2_to_joint1,joint3_to_joint2,joint4_to_joint3,joint5_to_joint4,joint6_to_joint5,gripper_controller
9.840,-0.0000,-0.0000,0.0012,-0.0000,-0.0011,0.0000,0.0000
9.852,-0.0000,-0.0000,0.0012,-0.0000,-0.0010,0.0000,0.0000
9.864,-0.0000,-0.0000,0.0012,-0.0000,-0.0010,0.0000,0.0000
9.876,-0.0000,-0.0000,0.0012,-0.0000,-0.0010,0.0000,0.0000
9.888,-0.0000,-0.0000,0.0012,-0.0000,-0.0010,0.0000,0.0000
9.900,-0.0000,-0.0000,0.0012,-0.0000,-0.0010,0.0000,0.0000
9.912,-0.0000,-0.0000,0.0012,-0.0000,-0.0010,0.0000,0.0000
9.924,-0.0000,-0.0000,0.0012,-0.0000,-0.0010,0.0000,0.0000
9.936,-0.0000,-0.0000,0.0012,-0.0000,-0.0010,0.0000,0.0000
9.948,-0.0000,-0.0000,0.0012,-0.0000,-0.0010,0.0000,0.0000
9.960,-0.0000,-0.0000,0.0012,-0.0000,-0.0010,0.0000,0.0000
9.972,-0.0000,-0.0000,0.0012,-0.0000,-0.0010,0.0000,0.0000
9.984,-0.0000,-0.0000,0.0011,-0.0000,-0.0010,0.0000,0.0000
9.996,-0.0000,-0.0000,0.0011,-0.0000,-0.0010,0.0000,0.0000
10.008,-0.0000,-0.0000,0.0011,-0.0000,-0.0010,0.0000,0.0000
10.020,-0.0000,-0.0000,0.0011,-0.0000,-0.0010,0.0000,0.0000
10.032,-0.0000,-0.0000,0.0011,-0.0000,-0.0009,0.0000,0.0000
10.044,-0.0000,-0.0000,0.0011,-0.0000,-0.0009,0.0000,0.0000
10.056,-0.0000,-0.0000,0.0011,-0.0000,-0.0009,0.0000,0.0000
10.068,-0.0000,-0.0000,0.0011,-0.0000,-0.0009,0.0000,0.0000
10.080,-0.0000,-0.0000,0.0011,-0.0000,-0.0009,0.0000,0.0000
10.092,-0.0000,-0.0000,0.0011,-0.0000,-0.0009,0.0000,0.0000
10.104,-0.0000,-0.0000,0.0011,-0.0000,-0.0009,0.0000,0.0000
10.116,-0.0000,-0.0000,0.0011,-0.0000,-0.0009,0.0000,0.0000
10.128,-0.0000,-0.0000,0.0010,-0.0000,-0.0009,0.0000,0.0000
10.140,-0.0000,-0.0000,0.0010,-0.0000,-0.0009,0.0000,0.0000
10.152,-0.0000,-0.0000,0.0010,-0.0000,-0.0009,0.0000,0.0000
10.164,-0.0000,-0.0000,0.0010,-0.0000,-0.0009,0.0000,0.0000
10.176,-0.0000,-0.0000,0.0010,-0.0000,-0.0009,0.0000,0.0000
10.188,-0.0000,-0.0000,0.0010,-0.0000,-0.0009,0.0000,0.0000
10.200,-0.0000,-0.0000,0.0010,-0.0000,-0.0009,0.0000,0.0000
10.212,-0.0000,-0.0000,0.0010,-0.0000,-0.0008,0.0000,0.0000
10.224,-0.0000,-0.0000,0.0010,-0.0000,-0.0008,0.0000,0.0000
10.236,-0.0000,-0.0000,0.0010,-0.0000,-0.0008,0.0000,0.0000
10.248,-0.0000,-0.0000,0.0010,-0.0000,-0.0008,0.0000,0.0000
10.260,-0.0000,-0.0000,0.0010,-0.0000,-0.0008,0.0000,0.0000
10.272,-0.0000,-0.0000,0.0010,-0.0000,-0.0008,0.0000,0.0000
10.284,-0.0000,-0.0000,0.0009,-0.0000,-0.0008,0.0000,0.0000
10.296,-0.0000,-0.0000,0.0009,-0.0000,-0.0008,0.0000,0.0000
10.308,-0.0000,-0.0000,0.0009,-0.0000,-0.0008,0.0000,0.0000
10.320,-0.0000,-0.0000,0.0009,-0.0000,-0.0008,0.0000,0.0000
10.332,-0.0000,-0.0000,0.0009,-0.0000,-0.0008,0.0000,0.0000
10.344,-0.0000,-0.0000,0.0009,-0.0000,-0.0008,0.0000,0.0000
10.356,-0.0000,-0.0000,0.0009,-0.0000,-0.0008,0.0000,0.0000
10.368,-0.0000,-0.0000,0.0009,-0.0000,-0.0008,0.0000,0.0000
10.380,-0.0000,-0.0000,0.0009,-0.0000,-0.0008,0.0000,0.0000
10.392,-0.0000,-0.0000,0.0009,-0.0000,-0.0007,0.0000,0.0000
10.404,-0.0000,-0.0000,0.0009,-0.0000,-0.0007,0.0000,0.0000
10.416,-0.0000,-0.0000,0.0009,-0.0000,-0.0007,0.0000,0.0000
10.428,-0.0000,-0.0000,0.0008,-0.0000,-0.0007,0.0000,0.0000
10.440,-0.0000,-0.0000,0.0008,-0.0000,-0.0007,0.0000,0.0000
10.452,-0.0000,-0.0000,0.0008,-0.0000,-0.0007,0.0000,0.0000
10.464,-0.0000,-0.0000,0.0008,-0.0000,-0.0007,0.0000,0.0000
10.476,-0.0000,-0.0000,0.0008,-0.0000,-0.0007,0.0000,0.0000
10.488,-0.0000,-0.0000,0.0008,-0.0000,-0.0007,0.0000,0.0000
10.500,-0.0000,-0.0000,0.0008,-0.0000,-0.0007,0.0000,0.0000
